OBJECTID,CREEK_NAME,MUNI,COUNTY,WATERSHED,SUBSHED,LABEL,SEGMENT_ID,REACH_ID,INF1,INF2,INF3,INF4,INF_ID,SOURCE,GNIS_NAME,GNIS_ID,MON_ID,RESTORATION_ID,ORDER_SHREVE,ORDER_STRAHLER,UREACHID,FACILITYID,EDITOR,EDIT_DATE,NOTES,RIVERMILE,Shape__Area,Shape__Length
106,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD09,WSMSD08,Culverted,,,,WScul238,,,,WS1436,,,,,,,, ,0,78.12109375,39.9553666192086
107,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD09,WSMSD08,,,,,,,,,WS1436,,,,,,,, ,0,380.13671875,181.885814575273
108,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD09,WSMSD08,Culverted,,,,WScul239,,,,WS1436,,,,,,,, ,0,62.66796875,32.8683889659851
109,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA05,WSRVA04,Culverted,,,,WScul269,,,,WSRV038,,,,,,,, ,0,94.734375,50.8700069887446
110,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRV01,WSRV02,Culverted,,,,WScul254,,,,WSRV038,,,,,,,, ,0,92.671875,51.8835146332
111,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSRV038,,,,,,,, ,0,618.74609375,97.6658576859159
112,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRV03,WSRV02,Culverted,,,,WScul255,,,,WSRV038,,,,,,,, ,0,108.85546875,93.1605000522296
113,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRV03,WSRV02,,,,,,,,,WSRV038,,,,,,,, ,0,686.9609375,358.033779743261
114,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRV03,WSRV02,Bridged,,,,WSbri503,,,,WSRV038,,,,,,,, ,0,68.0703125,54.2787579765252
115,Wissahickon Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WS1436,,,,,,,, ,0,9963.79296875,411.199079187316
116,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRV03,WSRV02,Bridged,,,,WSbri062,,,,WSRV038,,,,,,,, ,0,52.1875,43.3238931817532
117,"Houston Run, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WS1385,,,,,,,, ,0,222.80859375,286.577402478562
118,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA05,WSRVA06,Bridged,,,,WSbri134,,,,WSRV038,,,,,,,, ,0,115.6171875,45.2156313543341
119,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRV05,WSRV04,Culverted,,,,WScul260,,,,WSRV038,,,,,,,, ,0,226.08984375,96.2514507312402
120,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA07,WSRVA06,Impoundment,,,,,,,,WSRV038,,,,,,,, ,0,6713.17578125,425.541060162523
121,Rose Valley Creek,U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSRV038,,,,,,,, ,0,223.62109375,59.4669654677893
122,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSRV038,,,,,,,, ,0,543.48828125,111.188501212695
123,Tannery Run,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSTR01,WSTR02,Culverted,,,,WScul280,,,,WS1329,,,,,,,, ,0,69.890625,49.4617255301186
124,Wissahickon Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,Disconnected from Stream Network,,,,,W,,,,,,,, ,0,2109.734375,237.04108521265
125,Rose Valley Creek,Ambler Borough,Montgomery,Wissahickon Creek,,,WSRV09,WSRV08,Culverted,,,,WScul274,,,,WSRV038,,,,,,,, ,0,323.91796875,87.8425595846482
126,Tannery Run,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSTR05,WSTR04,Culverted,,,,WScul281,,,,WS1329,,,,,,,, ,0,47.5,39.9204355526086
127,Tannery Run,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSTR05,WSTR06,Culverted,,,,WScul282,,,,WS1329,,,,,,,, ,0,230.4375,103.603056936565
128,Tannery Run,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSTR05,WSTR06,,,,,,,,,WS1329,,,,,,,, ,0,258.74609375,141.61417529875
129,Tannery Run,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSTR05,WSTR06,Culverted,,,,WScul283,,,,WS1329,,,,,,,, ,0,176.015625,107.30052185585
130,Tannery Run,U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSTR05,WSTR06,Culverted,,,,WScul284,,,,WS1329,,,,,,,, ,0,42.4453125,38.9670988845085
